Wall time,Step,Value
1732628937.7426863,0,0.04726305603981018
1732629266.1079504,1,0.017852982506155968
1732629593.1567981,2,0.015909379348158836
1732629921.2403314,3,0.014116035774350166
1732630254.1572614,4,0.012956664897501469
1732630585.263983,5,0.012098495848476887
1732630918.4757202,6,0.011499280110001564
1732631251.4160445,7,0.010970687493681908
1732631582.5584297,8,0.010673911310732365
1732631913.716063,9,0.010426861234009266
1732632247.0127368,10,0.010141177102923393
1732632580.357296,11,0.00994121190160513
1732632911.8952277,12,0.009783116169273853
1732633243.9181173,13,0.009647611528635025
1732633574.618919,14,0.009521089494228363
1732633903.981001,15,0.009427034296095371
1732634232.455785,16,0.009307288564741611
1732634562.2650385,17,0.009232479147613049
1732634894.0323057,18,0.009156033396720886
1732635225.524575,19,0.009081012569367886
1732635557.6162117,20,0.009031291119754314
1732635889.359781,21,0.008965110406279564
1732636219.1373668,22,0.008917340077459812
1732636550.0911808,23,0.008871646597981453
1732636880.7642992,24,0.008835576474666595
1732637209.4711711,25,0.008788577280938625
