Wall time,Step,Value
1732561552.325132,0,0.01647111587226391
1732562169.343198,1,0.012257447466254234
1732562785.1673806,2,0.01143135316669941
1732563400.7949574,3,0.010732431896030903
1732564017.0647678,4,0.010240206494927406
1732564633.877798,5,0.009802077896893024
1732565251.1915953,6,0.00955449789762497
1732565876.7832422,7,0.009328152984380722
1732566518.6921108,8,0.009128439240157604
1732567135.1760592,9,0.00894060917198658
1732567767.8608038,10,0.008833708241581917
1732568427.8350844,11,0.008679104037582874
1732569091.892396,12,0.008604541420936584
1732569752.6003647,13,0.008487991988658905
1732570370.711123,14,0.008405040949583054
1732570988.490998,15,0.008318436332046986
1732571605.4695091,16,0.00825025700032711
1732572222.1267457,17,0.008189310319721699
1732572838.3708358,18,0.008126561529934406
1732573454.5372603,19,0.008069290779531002
1732574070.4432688,20,0.008023438975214958
1732574686.0957325,21,0.007977152243256569
1732575301.5716841,22,0.00793504063040018
1732575917.2331736,23,0.007895300164818764
1732576533.0283842,24,0.007857652381062508
1732577148.1254961,25,0.007824186235666275
1732577763.5060155,26,0.0077949767000973225
1732578379.7248504,27,0.007764742244035006
1732578995.2099571,28,0.007737309206277132
1732579610.8751602,29,0.0077115511521697044
1732580226.6683605,30,0.007688217796385288
